,0
1901-01-01,7.45
1901-02-01,7.11
1901-03-01,7.07
1901-04-01,7.33
1901-05-01,8.0
1901-06-01,9.56
1901-07-01,10.94
1901-08-01,11.69
1901-09-01,10.57
1901-10-01,9.17
1901-11-01,8.1
1901-12-01,7.41
1902-01-01,6.79
1902-02-01,6.81
1902-03-01,7.24
1902-04-01,6.38
1902-05-01,7.78
1902-06-01,9.53
1902-07-01,10.97
1902-08-01,11.43
1902-09-01,10.53
1902-10-01,9.46
1902-11-01,8.03
1902-12-01,7.82
1903-01-01,7.63
1903-02-01,7.67
1903-03-01,7.15
1903-04-01,6.91
1903-05-01,7.58
1903-06-01,9.08
1903-07-01,10.36
1903-08-01,11.05
1903-09-01,9.96
1903-10-01,9.09
1903-11-01,8.09
1903-12-01,7.1
1904-01-01,7.22
1904-02-01,7.15
1904-03-01,7.44
1904-04-01,7.22
1904-05-01,7.72
1904-06-01,9.8
1904-07-01,10.91
1904-08-01,11.32
1904-09-01,10.02
1904-10-01,8.72
1904-11-01,7.68
1904-12-01,7.32
1905-01-01,7.04
1905-02-01,7.39
1905-03-01,7.04
1905-04-01,7.27
1905-05-01,7.85
1905-06-01,9.63
1905-07-01,11.21
1905-08-01,11.09
1905-09-01,10.1
1905-10-01,9.03
1905-11-01,8.34
1905-12-01,7.67
1906-01-01,7.44
1906-02-01,7.05
1906-03-01,7.42
1906-04-01,6.95
1906-05-01,7.05
1906-06-01,9.44
1906-07-01,10.52
1906-08-01,11.25
1906-09-01,10.62
1906-10-01,8.95
1906-11-01,8.06
1906-12-01,7.19
1907-01-01,7.22
1907-02-01,6.91
1907-03-01,7.23
1907-04-01,7.27
1907-05-01,8.08
1907-06-01,9.26
1907-07-01,10.41
1907-08-01,11.16
1907-09-01,9.93
1907-10-01,8.72
1907-11-01,7.86
1907-12-01,7.32
1908-01-01,7.42
1908-02-01,6.43
1908-03-01,6.69
1908-04-01,7.18
1908-05-01,7.57
1908-06-01,9.05
1908-07-01,10.58
1908-08-01,11.16
1908-09-01,10.08
1908-10-01,9.16
1908-11-01,8.17
1908-12-01,7.72
1909-01-01,7.32
1909-02-01,7.47
1909-03-01,7.43
1909-04-01,7.52
1909-05-01,8.19
1909-06-01,9.84
1909-07-01,10.53
1909-08-01,11.37
1909-09-01,10.28
1909-10-01,8.93
1909-11-01,8.03
1909-12-01,7.25
1910-01-01,6.78
1910-02-01,6.72
1910-03-01,7.08
1910-04-01,6.71
1910-05-01,7.23
1910-06-01,9.08
1910-07-01,10.58
1910-08-01,11.35
1910-09-01,10.28
1910-10-01,8.85
1910-11-01,7.83
1910-12-01,7.13
1911-01-01,7.02
1911-02-01,7.21
1911-03-01,7.21
1911-04-01,7.18
1911-05-01,7.69
1911-06-01,9.31
1911-07-01,10.42
1911-08-01,11.19
1911-09-01,10.16
1911-10-01,8.98
1911-11-01,8.01
1911-12-01,7.37
1912-01-01,7.79
1912-02-01,7.79
1912-03-01,7.84
1912-04-01,7.68
1912-05-01,8.26
1912-06-01,9.54
1912-07-01,10.53
1912-08-01,10.96
1912-09-01,9.68
1912-10-01,9.24
1912-11-01,8.12
1912-12-01,7.65
1913-01-01,7.83
1913-02-01,7.21
1913-03-01,7.69
1913-04-01,7.39
1913-05-01,8.15
1913-06-01,9.22
1913-07-01,10.8
1913-08-01,11.66
1913-09-01,10.19
1913-10-01,8.73
1913-11-01,7.74
1913-12-01,7.29
1914-01-01,7.04
1914-02-01,7.08
1914-03-01,7.15
1914-04-01,7.35
1914-05-01,7.34
1914-06-01,8.79
1914-07-01,10.45
1914-08-01,11.45
1914-09-01,10.29
1914-10-01,8.86
1914-11-01,8.05
1914-12-01,7.68
1915-01-01,7.37
1915-02-01,7.1
1915-03-01,6.97
1915-04-01,7.06
1915-05-01,8.09
1915-06-01,9.73
1915-07-01,11.16
1915-08-01,11.85
1915-09-01,10.81
1915-10-01,9.65
1915-11-01,8.44
1915-12-01,7.8
1916-01-01,7.81
1916-02-01,7.64
1916-03-01,7.7
1916-04-01,7.55
1916-05-01,8.17
1916-06-01,9.23
1916-07-01,10.64
1916-08-01,11.57
1916-09-01,10.87
1916-10-01,9.72
1916-11-01,8.57
1916-12-01,7.47
1917-01-01,7.1
1917-02-01,6.9
1917-03-01,7.35
1917-04-01,7.38
1917-05-01,8.01
1917-06-01,9.61
1917-07-01,10.99
1917-08-01,11.79
1917-09-01,10.58
1917-10-01,9.35
1917-11-01,7.86
1917-12-01,7.37
1918-01-01,6.96
1918-02-01,7.2
1918-03-01,7.26
1918-04-01,7.55
1918-05-01,7.82
1918-06-01,9.24
1918-07-01,10.3
1918-08-01,10.71
1918-09-01,9.68
1918-10-01,8.44
1918-11-01,7.93
1918-12-01,7.13
1919-01-01,7.1
1919-02-01,6.85
1919-03-01,7.09
1919-04-01,7.0
1919-05-01,7.89
1919-06-01,9.71
1919-07-01,10.65
1919-08-01,11.21
1919-09-01,10.16
1919-10-01,8.96
1919-11-01,7.59
1919-12-01,7.25
1920-01-01,7.08
1920-02-01,7.12
1920-03-01,7.22
1920-04-01,7.22
1920-05-01,7.99
1920-06-01,9.34
1920-07-01,11.31
1920-08-01,11.15
1920-09-01,10.32
1920-10-01,9.42
1920-11-01,8.33
1920-12-01,7.56
1921-01-01,7.26
1921-02-01,7.11
1921-03-01,7.09
1921-04-01,6.89
1921-05-01,7.44
1921-06-01,8.73
1921-07-01,10.45
1921-08-01,10.86
1921-09-01,9.89
1921-10-01,8.35
1921-11-01,7.97
1921-12-01,7.49
1922-01-01,7.25
1922-02-01,7.11
1922-03-01,7.1
1922-04-01,6.82
1922-05-01,8.02
1922-06-01,8.51
1922-07-01,10.1
1922-08-01,11.14
1922-09-01,9.92
1922-10-01,8.67
1922-11-01,7.8
1922-12-01,7.73
1923-01-01,6.65
1923-02-01,7.59
1923-03-01,7.52
1923-04-01,7.34
1923-05-01,8.04
1923-06-01,8.96
1923-07-01,10.44
1923-08-01,11.18
1923-09-01,9.85
1923-10-01,8.62
1923-11-01,7.49
1923-12-01,7.69
1924-01-01,7.82
1924-02-01,7.57
1924-03-01,7.99
1924-04-01,7.64
1924-05-01,8.2
1924-06-01,9.58
1924-07-01,10.92
1924-08-01,11.55
1924-09-01,10.03
1924-10-01,8.78
1924-11-01,8.09
1924-12-01,8.04
1925-01-01,7.52
1925-02-01,6.99
1925-03-01,6.77
1925-04-01,6.85
1925-05-01,7.46
1925-06-01,9.46
1925-07-01,10.58
1925-08-01,11.32
1925-09-01,9.99
1925-10-01,8.71
1925-11-01,8.2
1925-12-01,7.92
1926-01-01,7.76
1926-02-01,7.7
1926-03-01,7.46
1926-04-01,7.8
1926-05-01,8.22
1926-06-01,9.78
1926-07-01,11.54
1926-08-01,11.68
1926-09-01,10.36
1926-10-01,8.52
1926-11-01,7.59
1926-12-01,7.19
1927-01-01,7.44
1927-02-01,7.52
1927-03-01,7.73
1927-04-01,7.36
1927-05-01,8.15
1927-06-01,9.67
1927-07-01,11.41
1927-08-01,12.02
1927-09-01,10.59
1927-10-01,9.34
1927-11-01,7.8
1927-12-01,7.96
1928-01-01,7.35
1928-02-01,7.18
1928-03-01,7.77
1928-04-01,7.78
1928-05-01,8.52
1928-06-01,9.75
1928-07-01,11.06
1928-08-01,11.7
1928-09-01,10.86
1928-10-01,9.7
1928-11-01,8.84
1928-12-01,8.01
1929-01-01,7.44
1929-02-01,8.05
1929-03-01,7.95
1929-04-01,7.94
1929-05-01,8.27
1929-06-01,9.95
1929-07-01,11.28
1929-08-01,11.74
1929-09-01,10.25
1929-10-01,8.67
1929-11-01,7.48
1929-12-01,7.66
1930-01-01,7.63
1930-02-01,7.52
1930-03-01,7.35
1930-04-01,7.76
1930-05-01,8.36
1930-06-01,9.78
1930-07-01,11.08
1930-08-01,11.25
1930-09-01,10.66
1930-10-01,8.57
1930-11-01,7.31
1930-12-01,7.5
1931-01-01,7.53
1931-02-01,7.0
1931-03-01,7.2
1931-04-01,7.35
1931-05-01,7.98
1931-06-01,8.77
1931-07-01,10.4
1931-08-01,11.65
1931-09-01,10.85
1931-10-01,9.3
1931-11-01,8.28
1931-12-01,8.06
1932-01-01,7.58
1932-02-01,7.97
1932-03-01,7.96
1932-04-01,7.47
1932-05-01,8.46
1932-06-01,10.48
1932-07-01,10.75
1932-08-01,11.93
1932-09-01,10.43
1932-10-01,9.37
1932-11-01,8.66
1932-12-01,8.19
1933-01-01,8.08
1933-02-01,7.69
1933-03-01,7.75
1933-04-01,7.64
1933-05-01,8.83
1933-06-01,10.37
1933-07-01,11.63
1933-08-01,12.26
1933-09-01,11.13
1933-10-01,9.55
1933-11-01,7.97
1933-12-01,8.26
1934-01-01,7.68
1934-02-01,7.59
1934-03-01,7.45
1934-04-01,7.41
1934-05-01,7.9
1934-06-01,9.82
1934-07-01,12.14
1934-08-01,12.23
1934-09-01,11.1
1934-10-01,9.31
1934-11-01,7.94
1934-12-01,8.14
1935-01-01,7.9
1935-02-01,7.28
1935-03-01,7.75
1935-04-01,7.51
1935-05-01,8.72
1935-06-01,9.83
1935-07-01,11.17
1935-08-01,11.58
1935-09-01,10.89
1935-10-01,9.6
1935-11-01,8.64
1935-12-01,7.82
1936-01-01,7.48
1936-02-01,7.17
1936-03-01,7.77
1936-04-01,7.87
1936-05-01,8.59
1936-06-01,9.75
1936-07-01,11.81
1936-08-01,12.45
1936-09-01,11.25
1936-10-01,9.98
1936-11-01,8.63
1936-12-01,7.71
1937-01-01,7.47
1937-02-01,7.3
1937-03-01,7.42
1937-04-01,7.44
1937-05-01,8.29
1937-06-01,9.59
1937-07-01,11.09
1937-08-01,11.86
1937-09-01,10.29
1937-10-01,9.08
1937-11-01,8.29
1937-12-01,7.93
1938-01-01,7.77
1938-02-01,7.69
1938-03-01,7.69
1938-04-01,7.66
1938-05-01,8.2
1938-06-01,9.5
1938-07-01,10.22
1938-08-01,11.67
1938-09-01,10.67
1938-10-01,9.28
